id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
394ea096db,4.47,4384.41,10034.4,0.0166842,  Preset timeout reached,101,101,101,0.99,2017-10-19 03:00:22,131,0.05,0.99,logistic,1e-18,10000,0.0357878036216221
3c4ea096db,4.94,9945.31,10001.6,0.03904,  Preset timeout reached,101,101,101,0.99,2017-10-19 03:26:30,134,0.05,0.99,logistic,1e-18,10000,0.125145320346654
3b59b75aa5,4.69,4484.58,10002.6,0.0137301,  Preset timeout reached,101,101,101,0.99,2017-10-19 03:30:46,141,0.05,0.99,logistic,1e-18,10000,0.0372113933652323
3e59b75aa5,4.69,3020.53,10043.6,0.016912,  Preset timeout reached,101,101,101,0.99,2017-10-19 04:16:54,144,0.05,0.99,logistic,1e-18,10000,0.2
3a4ea096db,4.94,10679.77,10679.8,12.2496,  Preset timeout reached,101,101,101,0.99,2017-10-19 04:38:07,132,0.05,0.99,logistic,1e-18,10000,0.124852827097347
3859b75aa5,4.65,5535.41,10000.3,0.0305563,  Preset timeout reached,101,101,101,0.99,2017-10-19 04:38:32,138,0.05,0.99,logistic,1e-18,10000,0.0469889414166221
3d59b75aa5,4.79,7450.63,10025.1,0.084373,  Preset timeout reached,101,101,101,0.99,2017-10-19 04:52:14,143,0.05,0.99,logistic,1e-18,10000,0.084303287552042
3e65a90d07,4.59,3863.71,4802.82,-0.000339601,  target precision reached,101,101,101,0.99,2017-10-19 05:46:12,152,0.05,0.99,logistic,1e-18,10000,0.2
3959b75aa5,4.76,9704.13,10000.2,0.186074,  Preset timeout reached,101,101,101,0.99,2017-10-19 05:56:29,139,0.05,0.99,logistic,1e-18,10000,0.102437828426303
3759b75aa5,4.8,11823.56,11823.6,3235.14,  Preset timeout reached,101,101,101,0.99,2017-10-19 06:21:08,137,0.05,0.99,logistic,1e-18,10000,0.17077945839221
3c59b75aa5,4.32,6179.36,10000.1,0.0401966,  Preset timeout reached,101,101,101,0.99,2017-10-19 06:22:45,142,0.05,0.99,logistic,1e-18,10000,0.0525354949703075
3e5033cec3,4.57,1895.85,1899.91,-0.000184926,  target precision reached,101,101,101,0.99,2017-10-19 06:26:57,160,0.05,0.99,logistic,1e-18,10000,0.030798221200295
3b65a90d07,4.74,7384.31,10008.9,0.0390472,  Preset timeout reached,101,101,101,0.99,2017-10-19 06:27:11,149,0.05,0.99,logistic,1e-18,10000,0.0783577889295108
3a59b75aa5,4.69,5559.13,10000.5,0.0260513,  Preset timeout reached,101,101,101,0.99,2017-10-19 07:34:20,140,0.05,0.99,logistic,1e-18,10000,0.053708774834512
3865a90d07,4.56,5076.21,10006.7,0.0125109,  Preset timeout reached,101,101,101,0.99,2017-10-19 07:34:53,146,0.05,0.99,logistic,1e-18,10000,0.0442415139682144
